"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12707","Check footer columns and social media links (Desktop)","Telnyx","Fri Oct 10 08:20:54 UTC 2025","passed","Fri Oct 10 08:21:07 UTC 2025","","","",""
"","5011","Navigate to Products via dropdown (Desktop)","Telnyx","Fri Oct 10 08:20:37 UTC 2025","passed","Fri Oct 10 08:20:42 UTC 2025","","","",""
"","6362","Navigate to Pricing (Desktop)","Telnyx","Fri Oct 10 08:20:31 UTC 2025","passed","Fri Oct 10 08:20:37 UTC 2025","","","",""
"","11532","Check footer columns and social media links (Mobile)","Telnyx","Fri Oct 10 08:21:07 UTC 2025","passed","Fri Oct 10 08:21:18 UTC 2025","","","",""
"","3919","Check Navigation menu in Header (Mobile)","Telnyx","Fri Oct 10 08:20:27 UTC 2025","passed","Fri Oct 10 08:20:31 UTC 2025","","","",""
"","4974","Open the app and check the Main page title","Telnyx","Fri Oct 10 08:20:16 UTC 2025","passed","Fri Oct 10 08:20:21 UTC 2025","","","",""
"","5362","Check Navigation menu in Header (Desktop)","Telnyx","Fri Oct 10 08:20:21 UTC 2025","passed","Fri Oct 10 08:20:27 UTC 2025","","","",""
"","12132","Check SignUp button, signup url, error messages","Telnyx","Fri Oct 10 08:20:42 UTC 2025","passed","Fri Oct 10 08:20:54 UTC 2025","","","",""
"","17473","Search (Desktop)","Telnyx","Fri Oct 10 08:21:18 UTC 2025","passed","Fri Oct 10 08:21:36 UTC 2025","","Telnyx Contact us","",""
"","8836","Navigate to Contact us, check Talk to an expert text (Desktop)","Telnyx","Fri Oct 10 08:21:36 UTC 2025","passed","Fri Oct 10 08:21:45 UTC 2025","","Telnyx Contact us","",""
"","0","Navigate to Login (Desktop)","","Fri Oct 10 08:21:45 UTC 2025","skipped","Fri Oct 10 08:21:45 UTC 2025","","","",""
