"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13494","Check SignUp button, signup url, error messages","Telnyx","Tue Oct 07 14:37:46 UTC 2025","passed","Tue Oct 07 14:38:00 UTC 2025","","","",""
"","13044","Check footer columns and social media links (Mobile)","Telnyx","Tue Oct 07 14:38:11 UTC 2025","passed","Tue Oct 07 14:38:24 UTC 2025","","","",""
"","5422","Navigate to Pricing (Desktop)","Telnyx","Tue Oct 07 14:37:33 UTC 2025","passed","Tue Oct 07 14:37:39 UTC 2025","","","",""
"","7657","Navigate to Products via dropdown (Desktop)","Telnyx","Tue Oct 07 14:37:39 UTC 2025","passed","Tue Oct 07 14:37:46 UTC 2025","","","",""
"","9558","Navigate to Contact us, check Talk to an expert text (Desktop)","Telnyx","Tue Oct 07 14:38:46 UTC 2025","passed","Tue Oct 07 14:38:55 UTC 2025","","Telnyx Contact us","",""
"","11487","Check footer columns and social media links (Desktop)","Telnyx","Tue Oct 07 14:38:00 UTC 2025","passed","Tue Oct 07 14:38:11 UTC 2025","","","",""
"","5568","Check Navigation menu in Header (Desktop)","Telnyx","Tue Oct 07 14:37:24 UTC 2025","passed","Tue Oct 07 14:37:29 UTC 2025","","","",""
"","4292","Check Navigation menu in Header (Mobile)","Telnyx","Tue Oct 07 14:37:29 UTC 2025","passed","Tue Oct 07 14:37:33 UTC 2025","","","",""
"","21019","Search (Desktop)","Telnyx","Tue Oct 07 14:38:24 UTC 2025","passed","Tue Oct 07 14:38:46 UTC 2025","","Telnyx Contact us","",""
"","5120","Open the app and check the Main page title","Telnyx","Tue Oct 07 14:37:18 UTC 2025","passed","Tue Oct 07 14:37:24 UTC 2025","","","",""
