"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17003","Check footer columns and social media links (Mobile)","Telnyx","Fri Oct 10 07:51:11 UTC 2025","passed","Fri Oct 10 07:51:28 UTC 2025","","","",""
"","11250","Navigate to Pricing (Desktop)","Telnyx","Fri Oct 10 07:50:20 UTC 2025","passed","Fri Oct 10 07:50:32 UTC 2025","","","",""
"","8536","Check Navigation menu in Header (Desktop)","Telnyx","Fri Oct 10 07:50:03 UTC 2025","passed","Fri Oct 10 07:50:11 UTC 2025","","","",""
"","12374","Check SignUp button, signup url, error messages","Telnyx","Fri Oct 10 07:50:42 UTC 2025","passed","Fri Oct 10 07:50:55 UTC 2025","","","",""
"","16531","Check footer columns and social media links (Desktop)","Telnyx","Fri Oct 10 07:50:55 UTC 2025","passed","Fri Oct 10 07:51:11 UTC 2025","","","",""
"","24277","Search (Desktop)","Telnyx","Fri Oct 10 07:51:28 UTC 2025","passed","Fri Oct 10 07:51:53 UTC 2025","","Telnyx Contact us","",""
"","7535","Open the app and check the Main page title","Telnyx","Fri Oct 10 07:49:55 UTC 2025","passed","Fri Oct 10 07:50:03 UTC 2025","","","",""
"","14281","Navigate to Contact us, check Talk to an expert text (Desktop)","Telnyx","Fri Oct 10 07:51:53 UTC 2025","passed","Fri Oct 10 07:52:07 UTC 2025","","Telnyx Contact us","",""
"","8966","Check Navigation menu in Header (Mobile)","Telnyx","Fri Oct 10 07:50:11 UTC 2025","passed","Fri Oct 10 07:50:20 UTC 2025","","","",""
"","1","Navigate to Login (Desktop)","","Fri Oct 10 07:52:07 UTC 2025","skipped","Fri Oct 10 07:52:07 UTC 2025","","","",""
"","10629","Navigate to Products via dropdown (Desktop)","Telnyx","Fri Oct 10 07:50:32 UTC 2025","passed","Fri Oct 10 07:50:42 UTC 2025","","","",""
